#WAVELENGTH FLUX
1.409671873213024810e+03 -1.865817623714109835e-17
1.409751599919982255e+03 4.501565738528747863e-17
1.409831326626706868e+03 1.970627942051417610e-18
1.409911053333664313e+03 -2.061764882145162583e-17
1.409990780040388927e+03 -4.041261441134067479e-17
1.410070506747346371e+03 5.186072129718067314e-18
1.410150233454070985e+03 -3.518216321457852499e-17
1.410229960161028430e+03 4.259681542446960883e-18
1.410309686867985874e+03 2.722393257387066922e-18
1.410389413574710488e+03 2.631557535113383135e-17
1.410469140281435102e+03 -1.774544943281844910e-17
1.410548866988392547e+03 2.777199721873962249e-17
1.410628593695349991e+03 -3.941963206244629314e-17
1.410708320402074605e+03 -3.869095832109067415e-17
1.410788047109032050e+03 -1.602797184543276008e-17
1.410867773815756664e+03 5.952146842470271452e-18
1.410947500522481278e+03 -1.490001471367534442e-17
1.411027227229438722e+03 -1.499470083762337067e-17
1.411106953936163336e+03 4.596044612374298950e-18
1.411186680643120781e+03 -1.523620903875772167e-17
1.411266407349845394e+03 -1.414669843469115818e-17
1.411346134056802839e+03 7.437031788158859142e-17
1.411425860763527453e+03 -1.272953455895713373e-17
1.411505587470484897e+03 2.939395447052952554e-17
1.411585314177442342e+03 -1.341921541982730927e-17
1.411665040884166956e+03 7.514685229318652859e-18
1.411744767590891570e+03 -1.413964341124669341e-17
1.411824494298081845e+03 6.268558316022830492e-18
1.411904221004806459e+03 2.884032455449931550e-17
1.411983947711531073e+03 7.578890988465018867e-18
1.412063674418255687e+03 5.782758864583193827e-18
1.412143401125445962e+03 4.251005245001892175e-18
1.412223127832170576e+03 -1.646183841647448001e-17
1.412302854538895190e+03 8.204500920628674546e-18
1.412382581245619804e+03 5.136841152072993787e-17
1.412462307952810079e+03 -3.361464850916502457e-17
1.412542034659534693e+03 -3.089178624037064008e-17
1.412621761366259307e+03 1.310491325683676045e-17
1.412701488073449582e+03 3.435434298461684068e-17
1.412781214780174196e+03 5.495235267717007939e-17
1.412860941486898810e+03 9.958153101434777594e-17
1.412940668193623424e+03 5.693942414261843863e-17
1.413020394900813699e+03 -8.219709049780768236e-18
1.413100121607538313e+03 -1.167669866170933383e-17
1.413179848314262927e+03 3.224838519242445067e-17
1.413259575020987540e+03 2.879304704658884720e-17
1.413339301728177816e+03 -1.754447680401195295e-17
1.413419028434902430e+03 -1.972251408080644810e-17
1.413498755141627043e+03 -1.317740074827600737e-20
1.413578481848817319e+03 -2.686949436678812867e-17
1.413658208555541933e+03 4.184487309248287317e-17
1.413737935262266546e+03 -4.665459955018523927e-18
1.413817661968991160e+03 1.354899137254044751e-17
1.413897388676181436e+03 1.070663442702053013e-16
1.413977115382906049e+03 4.874649084654795065e-16
1.414056842089165002e+03 1.022474361904216579e-15
1.414136568796355277e+03 1.231887118164730203e-15
1.414216295503079891e+03 8.772266013294823493e-16
1.414296022209804505e+03 1.956636823055057876e-16
1.414375748916994780e+03 1.296004278822866269e-16
1.414455475623719394e+03 4.181152820121994179e-17
1.414535202330444008e+03 2.299370610585610910e-17
1.414614929037168622e+03 2.275902545349777079e-17
1.414694655744358897e+03 2.909397700779686377e-18
1.414774382451083511e+03 4.885742536198641728e-17
1.414854109157808125e+03 -1.611112707164179713e-17
1.414933835864532739e+03 2.944636297977966026e-17
1.415013562571723014e+03 8.620021452864580873e-18
1.415093289278447628e+03 1.146275005063371833e-17
1.415173015985172242e+03 -9.331423663030092647e-18
1.415252742692362517e+03 1.088648516432160724e-17
1.415332469399087131e+03 1.867516813992513201e-16
1.415412196105811745e+03 3.435714964979426373e-16
1.415491922812536359e+03 5.214618496616741823e-16
1.415571649519726634e+03 4.116478678225576145e-16
1.415651376226451248e+03 1.056579819270610861e-15
1.415731102933175862e+03 1.322638188428886538e-15
1.415810829639900476e+03 1.990246740504709403e-15
1.415890556347090751e+03 1.700893284465935758e-15
1.415970283053815365e+03 1.210670994243929111e-15
1.416050009760539979e+03 1.320132162045095886e-15
1.416129736467730254e+03 8.289737680674752278e-16
1.416209463174454868e+03 2.286584797139317506e-16
1.416289189881179482e+03 3.082310957001342495e-17
1.416368916587904096e+03 3.448272327684144882e-17
1.416448643295094371e+03 3.535599811543868769e-17
1.416528370001818985e+03 -1.695605318987592490e-17
1.416608096708543599e+03 2.687312031300325487e-17
1.416687823415268213e+03 4.750810518573276705e-18
1.416767550122458488e+03 4.861375615150177149e-18
1.416847276829183102e+03 2.872724689681178523e-17
1.416927003535907716e+03 -3.760213303616161084e-17
1.417006730243097991e+03 -3.552010661306614561e-17
1.417086456949822605e+03 5.458615485690917872e-17
1.417166183656547219e+03 8.801667420249081815e-18
1.417245910363271832e+03 2.088792462721128477e-16
1.417325637070462108e+03 6.548032535630201613e-16
1.417405363777186722e+03 1.146757340695996403e-15
1.417485090483911335e+03 7.887827396258058707e-16
1.417564817190635949e+03 1.352463853010600858e-15
1.417644543897826225e+03 1.354407502456973859e-15
1.417724270604550838e+03 1.219579378716545496e-15
1.417803997311275452e+03 1.039388266519570170e-15
1.417883724018465728e+03 1.216698970387513343e-15
1.417963450725190341e+03 1.306613413636521296e-15
1.418043177431914955e+03 1.260249953537813896e-15
1.418122904138639569e+03 1.690045836436262366e-15
1.418202630845364183e+03 1.263446414344012760e-15
1.418282357552088797e+03 1.374252180774496732e-15
1.418362084258813411e+03 9.926282560352048484e-16
1.418441810966003686e+03 1.017778384774859136e-15
1.418521537672728300e+03 8.912181860285269512e-16
1.418601264379452914e+03 4.978602427333885652e-16
1.418680991086643189e+03 1.991482836198716795e-16
1.418760717793367803e+03 1.032188898403853669e-16
1.418840444500092417e+03 3.754152840781199444e-17
1.418920171206817031e+03 6.265505151022866640e-17
1.418999897914007306e+03 -3.233525776830630102e-17
1.419079624620731920e+03 1.583480656083784568e-17
1.419159351327456534e+03 1.713428476248696008e-17
1.419239078034181148e+03 4.222592004551001951e-17
1.419318804741371423e+03 4.189348794464868657e-17
1.419398531448096037e+03 -4.521373777708218312e-18
1.419478258154820651e+03 -3.121351317653946487e-17
1.419557984862010926e+03 1.026946963872237752e-17
1.419637711568735540e+03 1.006447186633713707e-16
1.419717438275460154e+03 3.142869966340176598e-17
1.419797164982184768e+03 5.069917045823207015e-16
1.419876891689375043e+03 1.211333572532028986e-15
1.419956618396099657e+03 1.464062058467910631e-15
1.420036345102824271e+03 1.667721290494640217e-15
