#WAVELENGTH FLUX
1.287655131305780969e+03 0.000000000000000000e+00
1.287665097144136553e+03 0.000000000000000000e+00
1.287675062982492136e+03 0.000000000000000000e+00
1.287685028820847947e+03 0.000000000000000000e+00
1.287694994659203530e+03 0.000000000000000000e+00
1.287704960497559114e+03 0.000000000000000000e+00
1.287714926335914697e+03 0.000000000000000000e+00
1.287724892174270508e+03 0.000000000000000000e+00
1.287734858012626091e+03 0.000000000000000000e+00
1.287744823850981675e+03 0.000000000000000000e+00
1.287754789689337258e+03 0.000000000000000000e+00
1.287764755527693069e+03 0.000000000000000000e+00
1.287774721366048652e+03 0.000000000000000000e+00
1.287784687204404236e+03 0.000000000000000000e+00
1.287794653042759819e+03 0.000000000000000000e+00
1.287804618881115630e+03 0.000000000000000000e+00
1.287814584719471213e+03 0.000000000000000000e+00
1.287824550557826797e+03 0.000000000000000000e+00
1.287834516396182380e+03 0.000000000000000000e+00
1.287844482234538191e+03 0.000000000000000000e+00
1.287854448072893774e+03 0.000000000000000000e+00
1.287864413911249358e+03 0.000000000000000000e+00
1.287874379749604941e+03 0.000000000000000000e+00
1.287884345587960752e+03 0.000000000000000000e+00
1.287894311426316335e+03 0.000000000000000000e+00
1.287904277264671919e+03 0.000000000000000000e+00
1.287914243103027502e+03 0.000000000000000000e+00
1.287924208941383313e+03 0.000000000000000000e+00
1.287934174779738896e+03 0.000000000000000000e+00
1.287944140618094480e+03 0.000000000000000000e+00
1.287954106456450063e+03 0.000000000000000000e+00
1.287964072294805874e+03 0.000000000000000000e+00
1.287974038133161457e+03 0.000000000000000000e+00
1.287984003971517041e+03 0.000000000000000000e+00
1.287993969809872624e+03 0.000000000000000000e+00
1.288003935648228435e+03 0.000000000000000000e+00
1.288013901486584018e+03 0.000000000000000000e+00
1.288023867324939602e+03 0.000000000000000000e+00
1.288033833163295185e+03 0.000000000000000000e+00
1.288043799001650996e+03 0.000000000000000000e+00
1.288053764840006579e+03 0.000000000000000000e+00
1.288063730678362163e+03 0.000000000000000000e+00
1.288073696516717746e+03 0.000000000000000000e+00
1.288083662355073557e+03 0.000000000000000000e+00
1.288093628193429140e+03 0.000000000000000000e+00
1.288103594031784723e+03 0.000000000000000000e+00
1.288113559870140307e+03 0.000000000000000000e+00
1.288123525708496118e+03 0.000000000000000000e+00
1.288133491546851701e+03 0.000000000000000000e+00
1.288143457385207284e+03 0.000000000000000000e+00
1.288153423223562868e+03 0.000000000000000000e+00
1.288163389061918679e+03 0.000000000000000000e+00
1.288173354900274262e+03 0.000000000000000000e+00
